PlayerID,PlayerFirstName,PlayerLastName,Positon,TeamID
273,Michael,Kidd-Gilchrist,SF,5
274,Sean,Kilpatrick,SG,3
275,Maxi,Kleber,PF,7
276,Furkan,Korkmaz,SG,23
277,Luke,Kornet,PF,20
278,Kyle,Korver,SG,6
279,Kosta,Koufos,C,26
28,Wade,Baldwin,PG,25
280,Kyle,Kuzma,PF,14
281,Mindaugas,Kuzminskas,SF,20
282,Skal,Labissiere,PF,26
283,Jeremy,Lamb,SG,5
284,Shane,Larkin,PG,2
285,Joffrey,Lauvergne,C,27
286,Zach,LaVine,SG,4
287,Jake,Layman,SF,25
288,T.J.,Leaf,PF,12
289,Courtney,Lee,SG,20
29,Lonzo,Ball,PG,14
290,Damion,Lee,SG,1
291,Walt,Lemon,PG,19
292,Alex,Len,C,24
293,Kawhi,Leonard,SF,27
294,Meyers,Leonard,C,25
295,Jon,Leuer,PF,9
296,Caris,LeVert,SF,3
297,DeAndre,Liggins,SG,17
298,Damian,Lillard,PG,25
299,Jeremy,Lin,PG,3
3,Steven,Adams,C,21
30,J.J.,Barea,PG,7
300,Shaun,Livingston,PG,10
301,Kevon,Looney,C,10
302,Brook,Lopez,C,14
303,Robin,Lopez,C,4
304,Kevin,Love,C,6
305,Kyle,Lowry,PG,28
306,Timothe,Luwawu-Cabarrot,SF,23
307,Tyler,Lydon,PF,8
308,Trey,Lyles,PF,8
309,Shelvin,Mack,PG,22
31,Harrison,Barnes,PF,7
310,Josh,Magette,PG,1
311,Ian,Mahinmi,C,30
312,Thon,Maker,C,17
313,Boban,Marjanovic,C,9
314,Lauri,Markkanen,PF,4
315,Jarell,Martin,PF,15
316,Frank,Mason,PG,26
317,Mangok,Mathiang,C,5
318,Wesley,Matthews,SF,7
319,Luc,Moute,PF,11
32,Will,Barton,SG,8
320,James,McAdoo,PF,23
321,Patrick,McCaw,SG,10
322,CJ,McCollum,SG,25
323,T.J.,McConnell,PG,23
324,Erik,McCree,SF,29
325,Chris,McCullough,PF,30
326,Doug,McDermott,SF,7
327,JaVale,McGee,C,10
328,Rodney,McGruder,SG,16
329,Trey,McKinney-Jones,SG,12
33,Nicolas,Batum,SG,5
330,Alfonzo,McKinnie,SF,28
331,Ben,McLemore,SG,15
332,Josh,McRoberts,PF,7
333,Jodie,Meeks,SG,30
334,Salah,Mejri,C,7
335,Jordan,Mickey,PF,16
336,Khris,Middleton,SF,17
337,C.J.,Miles,SF,28
338,Darius,Miller,SF,19
339,Malcolm,Miller,SF,28
34,Jerryd,Bayless,SG,23
340,Patty,Mills,PG,27
341,Paul,Millsap,PF,8
342,Nikola,Mirotic,PF,4
343,Donovan,Mitchell,SG,29
344,Naz,Mitrou-Long,SG,29
345,Malik,Monk,SG,5
346,Greg,Monroe,C,2
347,Luis,Montero,SG,9
348,Ben,Moore,PF,12
349,ETwaun,Moore,SG,19
35,Aron,Baynes,C,2
350,Eric,Moreland,PF,9
351,Jaylen,Morris,SG,1
352,Marcus,Morris,PF,2
353,Markieff,Morris,PF,30
354,Monte,Morris,PG,8
355,Johnathan,Motley,PF,7
356,Timofey,Mozgov,C,3
357,Emmanuel,Mudiay,PG,8
358,Shabazz,Muhammad,SG,17
359,Xavier,Munford,SG,17
36,Kent,Bazemore,SG,1
360,Dejounte,Murray,PG,27
361,Jamal,Murray,PG,8
362,Mike,Muscala,C,1
363,Abdel,Nader,SF,2
364,Larry,Nance,C,6
365,Shabazz,Napier,PG,25
366,Jameer,Nelson,PG,9
367,Raul,Neto,PG,29
368,Georges,Niang,PF,29
369,Joakim,Noah,C,20
37,Bradley,Beal,SG,30
370,Nerlens,Noel,C,7
371,Lucas,Nogueira,C,28
372,Dirk,Nowitzki,C,7
373,Frank,Ntilikina,PG,20
374,Jusuf,Nurkic,C,25
375,David,Nwaba,SG,4
376,Johnny,O'Bryant,PF,5
377,Royce,O'Neale,SF,29
378,Kyle,O'Quinn,C,20
379,Semi,Ojeleye,PF,2
38,Malik,Beasley,SG,8
380,Emeka,Okafor,C,19
381,Jahlil,Okafor,C,3
382,Victor,Oladipo,SG,12
383,Kelly,Olynyk,PF,16
384,Chinanu,Onuaku,C,11
385,Cedi,Osman,SF,6
386,Kelly,Oubre,SF,30
387,Zaza,Pachulia,C,10
388,Marcus,Paige,PG,5
389,Georgios,Papagiannis,C,25
39,Michael,Beasley,PF,20
390,Jabari,Parker,PF,17
391,Tony,Parker,PG,27
392,Chandler,Parsons,SF,15
393,Patrick,Patterson,PF,21
394,Justin,Patton,C,18
395,Brandon,Paul,SG,27
396,Chris,Paul,PG,11
397,Adreian,Payne,PF,22
398,Cameron,Payne,PG,4
399,Elfrid,Payton,PG,22
4,Bam,Adebayo,C,16
40,Marco,Belinelli,SG,1
400,Gary,Payton,PG,14
401,Kendrick,Perkins,C,6
402,London,Perrantes,PG,6
403,Alec,Peters,PF,24
404,Marshall,Plumlee,C,17
405,Mason,Plumlee,C,8
406,Miles,Plumlee,C,1
407,Jakob,Poeltl,C,28
408,Quincy,Pondexter,SF,4
409,Otto,Porter,SF,30
41,Jordan,Bell,C,10
410,Bobby,Portis,PF,4
411,Kristaps,Porzingis,PF,20
412,Dwight,Powell,C,7
