ID,Firstname,Lastname,Position,Team,Twitter Handle,Twitter Followers,Instagram Handle,Instagram Followers
431,Glenn,Robinson,SF,12,GRIII,90.4k,glennrob3,137.2k
432,Rajon,Rondo,PG,19,RajonRondo,1.72m,rajonrondo,1.1m
433,Derrick,Rose,PG,6,drose,2.63m,drose,669.3k
434,Terrence,Ross,SG,22,T_DotFlight31,167,3tross1,358.2k
435,Terry,Rozier,PG,2,T_Rozzay3,140k,gmb_chum12,52
436,Ricky,Rubio,PG,29,rickyrubio9,2.97m,ruuufio,518k
437,DAngelo,Russell,PG,3,Dloading,507k,dloading,3.2m
438,Domantas,Sabonis,C,12,Dsabonis11,33.9k,dsabonis11,121.2k
439,JaKarr,Sampson,SF,26,KarrSampson14,4048,karrsampson14,14.6k
44,Davis,Bertans,PF,27,DBertans_42,50.4k,dbertans_42,75.4k
440,Dario,Saric,PF,23,dariosaric,34k,megalodon20,127.7k
441,Tomas,Satoransky,SG,30,satoransky,15.1k,tomasatoransky,70k
442,Dennis,Schroder,PG,1,,,ds17_fg,1.4m
443,Mike,Scott,PF,30,mikescott,53.3k,mikescottva,127.9k
444,Thabo,Sefolosha,SF,29,ThaboSefolosha,172k,vevey1800,28.3k
445,Wayne,Selden,SG,15,WayneSeldenJr,70.1k,wayneseldenjr,92.1k
446,Ramon,Sessions,PG,20,RamonsSessions,35,ramonsessions07,523
447,Iman,Shumpert,SG,6,imanshumpert,682k,imanshumpert,1.8m
448,Pascal,Siakam,PF,28,pskills43,77.6k,pskills43,560.4k
449,Xavier,Silas,SG,2,XavierSilas,73.2k,xaviersilas,21.6k
45,Patrick,Beverley,SG,13,patbev21,193k,patbev21,303.3k
450,Ben,Simmons,PG,23,BenSimmons25,823k,bensimmons,4.3m
451,Jonathon,Simmons,SG,22,ThaRealJsimms,34.8k,tharealjsimms,119.2k
452,Kobi,Simmons,PG,15,JordanKobi,14.2k,,
453,Kyle,Singler,SF,21,KyleSingler,57.8k,kylesingler,39.7k
454,Marcus,Smart,SG,2,smart_MS3,209k,youngamechanger,406.6k
455,Dennis,Smith,PG,7,Dennis1SmithJr,195k,desmith4,877.5k
456,Ish,Smith,PG,9,IshSmith,1897,ishsmith5,41.3k
457,J.R.,Smith,SG,6,TheRealJRSmith,706k,teamswish,4.4m
458,Jason,Smith,C,30,JasonSmith929,26k,jasonstix,28.7k
459,Josh,Smith,PF,19,josh_smith8,8369,noigsmoove,83.9k
46,Khem,Birch,C,22,Khem_Birch,5908,khembirch,10.7k
460,Tony,Snell,SG,17,TonySnell21_,23.8k,t.snell_,49.4k
461,Marreese,Speights,C,22,Mospeights16,272k,mspeights5,269k
462,Nik,Stauskas,SG,3,NStauskas11,115k,nikstauskas11,146k
463,Lance,Stephenson,SG,12,StephensonLance,244k,stephensonlance,1.8m
464,David,Stockton,PG,29,dstockton32,10.9k,dstockton32,13k
465,Julyan,Stone,SG,5,,,,
466,Edmond,Sumner,PG,12,EdmondSumner,9885,edmondsumner,14.2k
467,Caleb,Swanigan,PF,25,calebswanigan50,18.3k,calebswanigan50,42.1k
468,Jayson,Tatum,SF,2,jaytatum0,427k,jaytatum0,2.4m
469,Isaiah,Taylor,PG,1,Zay_Ctmd11,7704,isaiahshaquille,16.6k
47,Jabari,Bird,SG,2,Jabari_Bird,5763,jabari_bird,22.2k
470,Jeff,Teague,PG,18,Teague0,85.8k,jeffteague,121k
471,Marquis,Teague,PG,15,marquisteague25,43.4k,marquisteague12,21k
472,Mirza,Teletovic,PF,17,Teletovic33,107k,mirzateletovic12,76.4k
473,Garrett,Temple,SG,26,GTemp17,24.7k,gtemp17,41.1k
474,Milos,Teodosic,PG,13,MilosTeodosic4,81.6k,milosteodosic4,185k
475,Jason,Terry,SG,17,jasonterry31,967k,asonterry31,2437
476,Daniel,Theis,C,2,dtheis10,33.4k,dtheis10,97.5k
477,Isaiah,Thomas,PG,6,isaiahthomas,1.64m,isaiahthomas,3.6m
478,Lance,Thomas,PF,20,MrLance42,5853,mrlance42,81.4k
479,Klay,Thompson,SG,10,KlayThompson,1.34m,klaythompson,6.7m
48,Bismack,Biyombo,C,22,bismackbiyombo,54.2k,bismackbiyombo,113k
480,Tristan,Thompson,C,6,RealTristan13,668k,realtristan13,3m
481,Sindarius,Thornwell,SG,13,Sin_City_803,30.1k,s_thornwell0,59.3k
482,Anthony,Tolliver,PF,9,ATolliver44,40.7k,atolliver44,37.3k
483,Karl-Anthony,Towns,C,18,KarlTowns,476k,karltowns,2.4m
484,P.J.,Tucker,PF,11,,,pjtucker,514k
485,Evan,Turner,SF,25,,,,
486,Myles,Turner,C,12,Original_Turner,99.4k,turner_myles,178k
487,Ekpe,Udoh,C,29,EkpeUdoh,106k,ekpeudoh,155k
488,Tyler,Ulis,PG,24,tulis3,243k,tulis3,360k
489,Jonas,Valanciunas,C,28,JValanciunas,184k,jvalanciunas,258k
49,Nemanja,Bjelica,PF,18,NemanjaBjelica,40.2k,nemanjabjelica8,79.6k
490,Denzel,Valentine,SG,4,denzelvalentine,79.2k,denzelvalentine,188k
491,Fred,VanVleet,PG,28,FredVanVleet,118k,fredvanvleet,578k
492,Rashad,Vaughn,SG,3,ShowtimeMr1,16.3k,rashad_vaughn,29.3k
493,Noah,Vonleh,PF,4,NoahVonleh,28.3k,,
494,Nikola,Vucevic,C,22,NikolaVucevic,80.2k,,
495,Dwyane,Wade,SG,6,DwyaneWade,8.19m,dwyanewade,14.2m
496,Dion,Waiters,SG,16,dionwaiters3,122k,dionwaiters3,1920
497,Kemba,Walker,PG,5,KembaWalker,414k,_kw15,1.3m
498,John,Wall,PG,30,JohnWall,1.89m,johnwall,4.3m
499,Tyrone,Wallace,PG,13,TyWallace661,3766,t_wa1l,26k
5,Arron,Afflalo,SG,22,Aaa_afflalo,386,thearronafflalo,462
50,Tarik,Black,C,11,TarikBlack25,31k,tarikbblack,97.1k
500,Taurean,Waller-Prince,SF,1,taureanprince,10.6k,taureanprince,159k
501,Derrick,Walton,PG,16,DerrickWalton10,24k,dw10_,62.7k
502,Jameel,Warney,PF,7,Fullcoursemeelz,2905,jameel_warney,4480
503,T.J.,Warren,SF,24,TonyWarrenJr,44.5k,t.warren1,57.3k
504,Travis,Wear,SF,14,traviswear,3938,traviswear,17.3k
505,James,Webb,SF,3,WassupWebb,1838,jw3_23,3805
506,Briante,Weber,PG,11,Sir_deuce2,16.4k,sir_deuce2,56.2k
507,David,West,C,10,D_West30,265k,realdwest30,14.4k
508,Russell,Westbrook,PG,21,russwest44,6.13m,russwest44,13.6m
509,Andrew,White,SF,1,AndrewWhite03,16.3k,andrewwhite03,12.3k
51,Antonio,Blakeney,SG,4,blakeney96,31.1k,blakeney96,201k
510,Derrick,White,PG,27,Dwhite921,17.8k,dwhite921,70.6k
511,Okaro,White,PF,16,owhite10,3809,okarowhite,24.1k
512,Isaiah,Whitehead,PG,3,isaiahwhitehead,10.5k,isaiahwhitehead,54.6k
513,Hassan,Whiteside,C,16,youngwhiteside,192k,hassanwhiteside,716k
514,Andrew,Wiggins,SF,18,22wiggins,515k,22wiggins,1.9m
515,Jacob,Wiley,PF,3,Jwiley_24,2277,wiley_coyote0,21.5k
516,Damien,Wilkins,SF,12,dwilkins3000,20.4k,dwilk3000,47.4k
517,Alan,Williams,PF,24,alantwilliams,11.5k,alantwilliams,35.2k
518,C.J.,Williams,SG,13,C_Will21,5842,c_will_21,19.2k
519,Derrick,Williams,PF,14,DWXXIII,165k,dwxxiii,165k
52,Eric,Bledsoe,PG,17,EBled2,239k,thebledshow,596k
520,Lou,Williams,SG,13,TeamLou23,216k,louwillville,962k
521,Marvin,Williams,PF,5,,,,
522,Matt,Williams,SG,16,,,,
523,Troy,Williams,SF,11,troywilliams_,27.2k,troywilliams_,41k
524,D.J.,Wilson,PF,17,Lanky_Smoove,28.1k,lanky_smoove,117k
525,Jamil,Wilson,SF,13,jamilwilson_22,1270,jamilwilson_22,5148
526,Justise,Winslow,PF,16,IAmJustise,123k,iamjustise,637k
527,Jeff,Withey,C,7,JeffWithey,40.5k,jeffwithey,35.7k
528,Nate,Wolters,PG,29,NateWolters,22.2k,nate_wolters6,12.4k
529,Brandan,Wright,PF,11,bwright34,34.4k,bkw34,463k
53,Vander,Blue,SG,14,veezy_SQ,21.9k,slickveez,33k
530,Delon,Wright,PG,28,delonwright,31.7k,DelonWright,109k
531,Guerschon,Yabusele,PF,2,YabuseleFans,242,guerschony,74.2k
532,James,Young,SG,23,realjamesyoung,33.6k,,
533,Joe,Young,PG,12,JoeyBuckets3,25.3k,mightyjoyoung3,59.7k
534,Nick,Young,SG,10,NickSwagyPYoung,490k,swaggyp1,3.4m
535,Thaddeus,Young,PF,12,yungsmoove21,63.9k,,
536,Cody,Zeller,C,5,CodyZeller,150k,codyzeller,32.4k
537,Tyler,Zeller,C,3,ZellerTyler,49.2k,therealtyler_zeller,173
538,Paul,Zipser,SF,4,paulzzip,1442,paulzzip,26.7k
539,Ante,Zizic,C,6,Ante__Zizic,81,antezizic,60.1k
54,Bogdan,Bogdanovic,SG,26,LeaderOfHorde,240k,bogdanbogdanovic,533k
540,Ivica,Zubac,C,14,ivicazubac,109k,ivicazubac,171k
55,Bojan,Bogdanovic,SF,12,44Bojan,15.5k,44bojan,78.4k
56,Andrew,Bogut,C,14,andrewbogut,396k,andrewbogut,30k
57,Joel,Bolomboy,PF,17,,,bolomboy21,99.8k
58,Devin,Booker,SG,24,DevinBook,671k,dbook,2.4m
59,Trevor,Booker,PF,3,35_Fitz,40.8k,35_fitz,46.6k
6,Cole,Aldrich,C,18,colea45,53.2k,colea45,36k
60,Chris,Boucher,PF,10,chrisboucher,8247,slimmduck,81.3k
61,Avery,Bradley,SG,9,Avery0Bradley,3281,averybradley00,3356
62,Tony,Bradley,C,29,ToBrad1,18.7k,tobrad13,49.7k
63,Corey,Brewer,SF,14,TheCoreyBrewer,78.6k,thecoreybrewer,9730
64,Malcolm,Brogdon,PG,17,MalcomBrogdon,163,MalcomBrogdon,55
65,Aaron,Brooks,PG,18,Thirty2zero,66.3k,,
66,Dillon,Brooks,SF,15,dillonbrooks24,20.2k,dillonbrooks24,118k
67,MarShon,Brooks,SG,15,Marshon2,49.8k,marshon_brooks,27.7k
68,Anthony,Brown,SF,18,TwoShotOne,29.7k,TwoShotOne,45.4k
69,Bobby,Brown,PG,11,BBROWNLAU,34.4k,,
7,LaMarcus,Aldridge,C,27,aldridge_12,774k,aldridge_121,376k
70,Jaylen,Brown,SG,2,FCHWPO,294k,FCHWPO,1m
71,Lorenzo,Brown,PG,28,Zo_Brown,4645,officialzobrown,27.8k
72,Markel,Brown,SG,11,iMarkelBrown22,16.2k,imarkelbrown22,23.7k
73,Sterling,Brown,SG,17,,,sterlingbrown23,84.4k
74,Nicolas,Brussino,SF,1,nicoobrussino,12.5k,nicoobrussino9,37.3k
75,Thomas,Bryant,C,14,nolimittb31,32.6k,nolimittb,77.5k
76,Reggie,Bullock,SF,9,ReggieBullock35,95.2k,y0bull,199k
77,Trey,Burke,PG,20,TreyBurke,173k,treyburke,361k
78,Alec,Burks,SG,29,lecBurks10,57.6k,alecburks13,1376
79,Jimmy,Butler,SG,18,JimmyButler,615k,jimmybutler,4.3m
8,Jarrett,Allen,C,3,_bigjayy_,21.6k,_bigjayy_,103k
80,Dwight,Buycks,PG,9,DwightBuycks,18,dwightbuycks,363
81,Bruno,Caboclo,SF,26,Bruno_Caboclo,34.7k,brunofive,87.1k
82,Jose,Calderon,PG,6,JmCalderon,515k,jmcalderon8,98.5k
83,Kentavious,Caldwell-Pope,SG,14,CaldwellPope,73.7k,caldwellpope,228k
84,Isaiah,Canaan,SG,11,SiP03,44.2k,da_future3,100k
85,Clint,Capela,C,11,CapelaClint,77.3k,ccapela15,277k
86,DeMarre,Carroll,PF,3,DeMarreCarroll1,92.8k,demarrecarroll1,201k
87,Vince,Carter,SF,26,mrvincecarter15,977k,vinsanity25,35.1k
88,Michael,Carter-Williams,PG,5,MCW1,136k,mr_carter5,336k
89,Alex,Caruso,PG,14,ACFresh21,56.1k,acfresh21,142k
9,Kadeem,Allen,PG,2,,,kadeemallen5,27.9k
90,Omri,Casspi,SF,10,Casspi18,86.3k,omricasspi18,283k
91,Willie,Cauley-Stein,C,26,THEwillieCS15,231k,pr00fessortrill,591k
92,Tyler,Cavanaugh,PF,1,tycav34 ‏,2709,tycav34,5010
93,Mario,Chalmers,PG,15,mchalmers15 ‏,959k,mchalmers6,593k
94,Tyson,Chandler,C,24,tysonchandler,819k,tysonchandler,314k
95,Wilson,Chandler,SF,8,wilsonchandler,154k,,
96,Marquese,Chriss,PF,24,quese,23.1k,quese,85.4k
97,Ian,Clark,SG,19,IanClark,42.7k,iclark21,191k
98,Jordan,Clarkson,SG,6,JordanClarksons,358k,jordanclarksons,1.2m
99,Gian,Clavell,SG,7,clavelito04,4682,clavelito,15.1k
1,Alex,Abrines,SG,21,alexabrines,51k,alexabrines,152k
