GamesPlayed,PPG,APG,RPG,MPG,PER,FG,FT,PlayerID
76,11,1,4,14.4,0.636,4.6,1.8,196
44,8.5,1.9,1.9,13,0.493,2.7,2.1,197
67,17.5,2.9,2.6,27.2,0.57,6.6,2,198
78,10.8,1.6,3.3,16,0.612,3.9,1.1,199
24,2,1.5,1,3.4,0.524,0.7,0.2,19
75,4.7,0.4,1.5,7.8,0.54,1.5,0.5,1
48,18.1,2,5.1,29.6,0.531,6.7,2.4,200
9,6.7,1.2,2.7,15.4,0.341,2.1,1.4,201
56,9.5,3.2,2.3,15.4,0.477,3.2,2.2,202
23,6.6,2.4,2.7,10.8,0.5,2.6,1.2,203
63,7.9,1.3,4.2,12,0.573,2.8,1,204
14,0.6,0.4,0.7,2.2,0.233,0.2,0.1,205
2,1.5,1,0,3,0.333,0.5,0.5,206
1,2,0,1,4,0.5,1,0,207
3,1,0,0,1.4,0.75,0.3,0,208
20,5.4,1.1,1.9,11,0.463,2.1,0.3,209
67,11.7,1.6,4.4,19.4,0.542,4,1.1,20
76,8.8,1.5,6.8,13.2,0.573,3.8,1.2,210
25,3.3,0.5,2.2,6,0.48,1.2,0.4,211
22,6.1,0.5,5.3,7.6,0.53,1.9,2.1,212
75,9.6,1.4,3.7,16.4,0.515,3.6,1.1,213
18,4.4,0.9,2.3,8,0.472,1.8,0.7,214
80,13.5,1.9,3.8,23.4,0.54,5.2,0.9,215
52,6.5,0.9,3.4,9.2,0.569,2.6,1.3,216
24,9.4,2.8,2.7,15.6,0.516,3.5,1.4,217
12,2.4,1.8,3,6.8,0.317,0.9,0.3,218
14,1.1,0.8,0.5,2.8,0.263,0.4,0.4,219
19,2.8,0.5,0.8,5,0.553,1.2,0.1,21
81,19,6,4.5,30.8,0.543,7.6,2.3,220
72,12.2,2.1,4,21.8,0.474,4,1.9,221
24,2.3,0.2,1,5,0.381,0.7,0.4,222
68,13.9,2.5,6.8,21.2,0.481,5,3.7,223
48,6.5,1.3,4.4,10,0.568,2.8,0.8,224
21,10.8,1.4,2.6,19,0.505,4.2,1.2,225
1,1,1,0,2,0,0,1,226
72,12.9,4.7,7.4,21,0.553,5.1,1.3,227
23,6.6,1.1,3.3,11.2,0.492,2.4,1.1,228
81,16.6,1.3,12.5,22.4,0.556,6.2,4.1,229
15,5.1,1.2,2.5,10.6,0.443,2.1,0.5,22
69,2.3,0.3,2.3,5.2,0.42,0.9,0.1,230
5,3.8,0.6,1,8,0.425,1.4,0.4,231
4,1.5,0,0.8,2.6,0.6,0.8,0,232
76,12.6,0.8,6.3,20.6,0.552,5,1.2,233
64,6,3.3,3.8,10,0.514,2.3,0.9,234
