GamesPlayed,PPG,APG,RPG,MPG,PER,FG,FT,PlayerID
38,5.5,1.1,1.5,10.4,0.497,2.3,0.3,518
2,1,0,0.5,4,0.25,0.5,0,519
19,7.9,1.1,1.7,15,0.423,2.8,1.6,51
79,22.6,5.3,2.5,33.8,0.505,7.4,5.5,520
78,9.5,1.2,4.7,14.4,0.57,3.3,1.3,521
3,1.7,0,0.3,4,0.417,0.7,0,522
4,1.3,0.3,1,4.6,0.222,0.5,0.3,523
22,1,0.1,0.5,1.4,0.625,0.4,0,524
15,7,0.7,2.1,10.8,0.636,2.5,0.1,525
68,7.8,2.2,5.4,14.4,0.474,3,1,526
9,1.7,0,1.1,3.6,0.438,0.7,0.1,527
5,0.4,0.2,0.4,2.4,0.167,0.2,0,528
1,4,0,2,6,0.667,2,0,529
71,17.8,5.1,3.9,26.8,0.54,6.4,3.4,52
69,8,2.9,2.9,12.6,0.53,2.9,1.4,530
33,2.4,0.5,1.6,3.6,0.525,0.8,0.5,531
6,2.8,0.3,0.3,4.6,0.464,0.8,0.7,532
53,3.9,0.7,1.2,7,0.497,1.5,0.4,533
80,7.3,0.5,1.6,12.2,0.538,2.5,0.7,534
81,11.8,1.9,6.3,21.4,0.521,5.2,0.7,535
33,7.1,0.9,5.4,9.4,0.551,2.6,1.8,536
42,7.1,0.7,4.6,11,0.568,3,1,537
54,4,0.9,2.4,8.6,0.425,1.5,0.4,538
32,3.7,0.2,1.9,4.2,0.731,1.5,0.7,539
5,0.6,0.6,0.2,2,0.2,0.2,0.2,53
43,3.7,0.6,2.9,5.6,0.5,1.4,0.9,540
78,11.8,3.3,2.9,19.8,0.529,4.4,1.3,54
80,14.3,1.5,3.4,21.4,0.565,5.1,2.2,55
24,1.5,0.6,3.3,2,0.68,0.7,0.1,56
6,1.5,0,1.7,2,0.5,0.5,0.5,57
54,24.9,4.7,4.5,39,0.501,8.4,5.4,58
18,10.1,2.1,6.6,16.6,0.523,4.3,1.3,59
53,3.4,0.6,1.2,6.2,0.485,1.2,0.4,5
1,0,0,1,2,0,0,0,60
40,15,2.1,2.4,28.6,0.474,5.8,1.5,61
9,0.9,0.1,1.2,2.4,0.273,0.3,0.2,62
54,3.7,0.8,1.7,6.4,0.477,1.4,0.6,63
48,13,3.2,3.3,21,0.547,5.1,1.6,64
32,2.3,0.6,0.5,4.4,0.486,0.9,0.3,65
82,11,1.6,3.1,18.8,0.501,4.1,1.5,66
7,20.1,3.6,3,29.2,0.593,7.3,2.9,67
1,3,1,0,2,1.5,1,0,68
20,2.5,0.6,0.4,5.8,0.422,1,0.1,69
21,0.6,0.1,0.7,1.4,0.333,0.2,0.1,6
70,14.5,1.6,4.9,23,0.54,5.3,2.1,70
14,2.3,0.9,1.1,4.8,0.441,1,0.1,71
4,1.3,0.5,1.3,3.6,0.357,0.5,0,72
54,4,0.5,2.6,7.6,0.478,1.5,0.4,73
4,0,0,0.8,1,0,0,0,74
15,1.5,0.4,1.1,2.8,0.405,0.5,0.3,75
62,11.3,1.5,2.5,17.6,0.603,4.3,0.6,76
36,12.8,4.7,2,21.4,0.552,5.4,1,77
64,7.7,1,3,13,0.467,2.7,1.7,78
59,22.2,4.9,5.3,31.2,0.512,7.4,6.2,79
75,23.1,2,8.5,36,0.52,9.2,4.5,7
29,7.4,2,1.4,13.6,0.452,2.8,1.2,80
10,2.6,0.3,2.1,5.8,0.362,0.9,0.5,81
57,4.5,2.1,1.5,6.4,0.624,1.6,0.4,82
74,13.4,2.2,5.2,21.6,0.526,4.6,2.1,83
1,0,0,1,2,0,0,0,84
74,13.9,0.9,10.8,18.2,0.652,6,1.9,85
73,13.5,2,6.6,21.6,0.506,4.5,2.6,86
58,5.4,1.2,2.6,9.8,0.504,2,0.5,87
52,4.6,2.2,2.7,8.8,0.362,1.5,1.4,88
37,3.6,2,1.8,6.2,0.487,1.4,0.6,89
72,8.2,0.7,5.4,11,0.596,3.3,1.6,8
53,5.7,1,3.8,7.8,0.604,2.3,0.9,90
73,12.8,2.4,7,21.2,0.504,5.3,2.1,91
39,4.7,0.7,3.3,7.8,0.546,1.7,0.4,92
66,7.7,3,2.4,13.4,0.439,2.5,1.8,93
46,6.5,1.2,9.1,8.2,0.647,2.6,1.3,94
74,10,2.1,5.4,17,0.515,3.8,1.2,95
72,7.7,1.2,5.5,13.2,0.482,2.8,1.3,96
74,7.4,1.5,1.7,13.4,0.511,3,0.6,97
28,12.6,1.7,2.1,20.6,0.533,4.7,1.7,98
7,2.9,0.4,1,5.2,0.5,0.9,0.3,99
18,1.1,0.7,0.6,2.4,0.273,0.3,0.4,9
